rnn_type,embedding_size,num_layers,epoch,acc,auroc,f1
lstm,512,3,5,34.9989,0.7101,0.2102
lstm,512,3,10,60.5336,0.8814,0.5206
lstm,512,3,15,67.8382,0.927,0.6318
lstm,512,3,20,68.4734,0.9324,0.641
lstm,512,3,25,67.3724,0.925,0.6384
lstm,512,3,30,69.8920,0.9293,0.6659
lstm,512,3,35,68.7910,0.9252,0.658
lstm,512,3,40,69.6591,0.9222,0.6494
lstm,512,3,45,70.0402,0.9224,0.667
lstm,512,3,50,69.9132,0.9251,0.6685
lstm,512,6,5,23.0997,0.6468,0.07042
lstm,512,6,10,41.6896,0.7887,0.2609
lstm,512,6,15,58.3951,0.8672,0.4916
lstm,512,6,20,67.0548,0.9178,0.6325
lstm,512,6,25,68.5793,0.923,0.6485
lstm,512,6,30,67.6689,0.9145,0.6463
lstm,512,6,35,68.7698,0.9181,0.6597
lstm,512,6,40,68.7487,0.9207,0.6569
lstm,512,6,45,68.7910,0.9101,0.6573
lstm,512,6,50,67.9653,0.9101,0.6451
lstm,512,10,5,23.2903,0.6403,0.05983
lstm,512,10,10,29.7057,0.7316,0.1217
lstm,512,10,15,45.8395,0.81,0.2452
lstm,512,10,20,57.6752,0.8574,0.4629
lstm,512,10,25,63.7095,0.8936,0.5728
lstm,512,10,30,64.9375,0.8988,0.6071
lstm,512,10,35,66.1867,0.8991,0.6113
lstm,512,10,40,67.3724,0.8963,0.6257
lstm,512,10,45,65.9750,0.8877,0.6169
lstm,512,10,50,67.8594,0.9016,0.6353
