nhead,embedding_size,num_layers,epoch,acc,auroc,f1
4,512,10,20,50.3070,0.8614,0.478
4,512,10,25,51.8738,0.8668,0.4848
4,512,10,30,51.9585,0.8636,0.4746
4,512,10,35,52.0432,0.868,0.4882
4,512,10,40,50.6034,0.851,0.4662
4,512,10,45,22.2105,0.5336,0.03635
4,512,10,50,22.2105,0.4953,0.03635
8,512,10,5,46.2630,0.8565,0.3965
8,512,10,10,46.4112,0.8739,0.4377
8,512,10,15,42.3460,0.8394,0.3575
8,512,10,20,51.1751,0.8734,0.4825
8,512,10,25,45.3102,0.8656,0.438
8,512,10,30,24.7089,0.751,0.1613
8,512,10,35,22.2105,0.5075,0.03635
8,512,10,40,22.2105,0.4943,0.03635
8,512,10,45,22.2105,0.5106,0.03635
8,512,10,50,22.2105,0.502,0.03635
16,512,10,5,46.0301,0.8461,0.3996
16,512,10,10,50.9210,0.8858,0.4897
16,512,10,15,47.9992,0.8725,0.4509
16,512,10,20,46.2630,0.8031,0.3972
16,512,10,25,50.1376,0.855,0.4803
16,512,10,30,50.2011,0.8603,0.4715
16,512,10,35,28.1177,0.652,0.1069
16,512,10,40,22.2105,0.504,0.03635
16,512,10,45,22.2105,0.484,0.03635
16,512,10,50,22.2105,0.4752,0.03635
