model,epoch,acc,auroc,f1,hyperparams
transformer,20,49.2907,0.8558,0.4579,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,25,51.7468,0.8754,0.502,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,30,52.5937,0.8755,0.5086,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,35,48.4226,0.8641,0.4561,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,40,51.8103,0.8639,0.4981,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,45,52.0220,0.8714,0.4986,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,50,53.0595,0.8709,0.5029,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 1; 'factory': <function build_transformer at 0x7fee6255c2c0>}
transformer,5,44.9714,0.8334,0.3666,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,10,51.2810,0.8775,0.4837,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,15,48.4438,0.8569,0.4527,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,20,46.1994,0.8651,0.412,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,25,50.9845,0.8707,0.4765,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,30,52.5937,0.8647,0.4795,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,35,48.6767,0.8646,0.4615,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,40,51.0692,0.8686,0.4932,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,45,47.9145,0.8461,0.4518,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,50,53.1018,0.8677,0.5029,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 4; 'factory': <function build_transformer at 0x7f2e13b442c0>}
transformer,5,47.3428,0.8452,0.4449,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,10,47.4698,0.8696,0.4297,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,15,51.1328,0.8635,0.4493,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,20,52.0644,0.8803,0.4798,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,25,52.1702,0.8769,0.5082,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,30,52.4031,0.8784,0.5119,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,35,52.3396,0.8702,0.4901,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,40,51.4927,0.8653,0.4906,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,45,50.2011,0.8625,0.4897,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,50,50.2858,0.8627,0.4589,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 8; 'factory': <function build_transformer at 0x7f77e2cf42c0>}
transformer,5,46.0936,0.8352,0.3873,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,10,49.1001,0.8737,0.4621,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,15,49.7142,0.8628,0.4542,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,20,51.5562,0.8761,0.4862,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,25,33.7921,0.77,0.1818,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,30,22.2105,0.605,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,35,22.2105,0.4972,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,40,22.2105,0.5075,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,45,22.2105,0.4983,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
transformer,50,22.2105,0.5047,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'nhead': 16; 'factory': <function build_transformer at 0x7f7258bfc2c0>}
rnn,5,38.5772,0.751,0.2439,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,10,55.6426,0.8606,0.4588,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,15,62.1427,0.8943,0.5634,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,20,66.3985,0.9208,0.622,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,25,67.7535,0.928,0.6345,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,30,68.8969,0.9353,0.6462,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,35,68.9392,0.936,0.6479,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,40,69.9132,0.9388,0.6633,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,45,69.3627,0.938,0.6598,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,50,70.3367,0.9368,0.6627,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37a4778220>}
rnn,5,49.6718,0.8146,0.3577,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,10,64.2177,0.907,0.5751,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,15,68.1135,0.934,0.6548,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,20,70.1461,0.9381,0.6675,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,25,70.5060,0.9424,0.6721,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,30,69.4474,0.9325,0.6599,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,35,69.6591,0.9323,0.6648,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,40,69.9555,0.9293,0.6647,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,45,69.3415,0.9371,0.6577,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,50,70.0402,0.9299,0.6685,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f98311f8220>}
rnn,5,52.9748,0.842,0.4021,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,10,63.5613,0.9115,0.5858,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,15,69.1933,0.9308,0.655,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,20,68.4734,0.9305,0.6377,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,25,69.6591,0.9316,0.6576,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,30,68.1347,0.922,0.6479,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,35,68.7487,0.926,0.6586,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,40,68.2405,0.9211,0.6471,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,45,67.4360,0.9212,0.6439,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,50,69.0874,0.9227,0.652,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7fcf099c4220>}
rnn,5,54.8169,0.8455,0.4318,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,10,63.5613,0.9029,0.5682,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,15,67.2454,0.917,0.6244,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,20,68.7063,0.925,0.6536,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,25,67.5630,0.9218,0.6366,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,30,63.5401,0.9102,0.6043,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,35,67.8806,0.9136,0.6431,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,40,66.5890,0.9139,0.622,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,45,67.3089,0.912,0.6277,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,50,67.4995,0.9131,0.6353,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f0575f07e20>}
rnn,5,36.6293,0.7398,0.2253,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,10,57.8869,0.8733,0.4751,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,15,67.0760,0.9172,0.6148,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,20,70.3790,0.937,0.6644,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,25,71.2683,0.942,0.6735,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,30,71.6494,0.9446,0.6851,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,35,72.0940,0.9417,0.6878,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,40,72.1575,0.9413,0.6944,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,45,71.8611,0.938,0.6867,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
rnn,50,71.3741,0.9387,0.6857,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 512; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f37ded18220>}
