model,epoch,acc,auroc,f1,hyperparams
rnn,10,53.4194,0.8354,0.4005,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,15,62.9473,0.8935,0.5527,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,20,68.0500,0.9226,0.6329,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,25,69.7226,0.9332,0.6576,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,30,70.8236,0.9402,0.6717,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,35,71.2259,0.9394,0.6748,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,40,70.8660,0.9385,0.6773,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,45,70.6331,0.9374,0.6748,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,50,70.8236,0.9366,0.679,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
rnn,5,37.1586,0.7381,0.228,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,10,60.3007,0.8819,0.5222,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,15,67.6477,0.9228,0.6285,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,20,69.6168,0.9402,0.6656,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,25,69.9979,0.9353,0.6707,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,30,70.5272,0.9298,0.6732,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,35,67.8806,0.9305,0.6513,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,40,69.2568,0.9283,0.6695,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,45,70.0614,0.9291,0.6709,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,50,70.2731,0.9254,0.6759,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f6df92a4220>}
rnn,5,40.6945,0.7558,0.2802,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,10,58.3739,0.8757,0.4864,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,15,65.3398,0.9185,0.6159,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,20,68.3464,0.9318,0.6496,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,25,70.2308,0.9306,0.6681,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,30,70.2731,0.93,0.6767,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,35,69.6379,0.917,0.659,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,40,68.5369,0.9165,0.6496,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,45,69.1721,0.9156,0.657,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,50,69.0239,0.9149,0.6552,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 6; 'factory': <function build_rnn at 0x7f7f40493e20>}
rnn,5,27.8848,0.7038,0.1047,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,10,50.0741,0.8239,0.3529,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,15,61.4228,0.8889,0.539,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,20,67.0337,0.9175,0.6312,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,25,67.9441,0.9142,0.6342,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,30,69.4897,0.9179,0.6564,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,35,69.4050,0.9141,0.6588,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,40,68.1135,0.914,0.6508,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,45,68.1770,0.9085,0.6451,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,50,67.7747,0.9032,0.6435,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f12a794be20>}
rnn,5,23.3961,0.6734,0.05734,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'lstm'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f31e39d8220>}
rnn,10,52.3396,0.8309,0.3698,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'lstm'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f31e39d8220>}
rnn,15,62.6509,0.8906,0.5376,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'lstm'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f31e39d8220>}
rnn,20,67.1819,0.9203,0.6245,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'lstm'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f31e39d8220>}
rnn,25,68.8757,0.9321,0.6453,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'lstm'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f31e39d8220>}
